activity,source_index,subject,sample,x,y,z
walking,3362,17,0,0.04796396,0.14171880,-0.02927698
walking,3362,17,1,0.23134360,0.17789230,-0.10642700
walking,3362,17,2,0.30507410,0.22168990,-0.11503270
walking,3362,17,3,0.24205560,0.23784890,-0.06332604
walking,3362,17,4,0.23097860,0.20220660,0.00826397
walking,3362,17,5,0.19504180,0.13339380,0.09625988
walking,3362,17,6,0.14604460,0.09414603,0.04493502
walking,3362,17,7,0.22359300,0.06025536,-0.15802340
walking,3362,17,8,0.25775730,-0.03735978,-0.30756910
walking,3362,17,9,0.13411230,-0.22454280,-0.35350650
walking,3362,17,10,-0.00384975,-0.35312670,-0.30026460
walking,3362,17,11,-0.06072985,-0.31363850,-0.16134860
walking,3362,17,12,-0.04740860,-0.22117150,-0.00817755
walking,3362,17,13,-0.00265347,-0.11451010,0.06078893
walking,3362,17,14,0.07484489,-0.04548596,-0.01462776
walking,3362,17,15,0.17379460,0.02129539,-0.11140010
walking,3362,17,16,0.25547300,0.15920000,-0.22121490
walking,3362,17,17,0.21989950,0.12358740,-0.27655700
walking,3362,17,18,-0.00891001,-0.03851046,-0.13584780
walking,3362,17,19,-0.20858230,-0.08452648,-0.04798663
walking,3362,17,20,-0.22299140,-0.10273930,-0.01816510
walking,3362,17,21,-0.20330170,-0.07657496,0.07544491
walking,3362,17,22,-0.23942570,-0.02822978,0.12384310
walking,3362,17,23,-0.25892490,-0.03975429,0.16526170
walking,3362,17,24,-0.24292930,-0.02650679,0.14407930
walking,3362,17,25,-0.30547220,-0.04443786,0.15363800
walking,3362,17,26,-0.34596230,-0.06074254,0.21448200
walking,3362,17,27,-0.28347600,-0.02557885,0.17647100
walking,3362,17,28,-0.25023570,-0.01519836,0.21223170
walking,3362,17,29,-0.17444520,0.02947961,0.22888370
walking,3362,17,30,-0.09007682,0.04559844,0.18342710
walking,3362,17,31,-0.03959142,-0.00215360,0.18970380
walking,3362,17,32,0.10707470,-0.06422596,0.12221030
walking,3362,17,33,0.28412420,-0.16346470,0.12933130
walking,3362,17,34,0.38933330,-0.14623780,0.22370420
walking,3362,17,35,0.35758600,0.05039950,0.25402990
walking,3362,17,36,0.32109680,0.29183430,0.21371700
walking,3362,17,37,0.38110700,0.34256390,0.06477009
walking,3362,17,38,0.36585180,0.03358214,-0.07387596
walking,3362,17,39,0.31885910,-0.34523630,-0.17969250
walking,3362,17,40,0.17829630,-0.45260950,-0.22239480
walking,3362,17,41,-0.13570620,-0.30753250,-0.17299660
walking,3362,17,42,-0.31263180,-0.10985290,-0.20666400
walking,3362,17,43,-0.28176780,0.01367031,-0.22861230
walking,3362,17,44,-0.13946200,0.01909995,-0.19216540
walking,3362,17,45,0.08407735,-0.14339850,-0.19855720
walking,3362,17,46,0.17447110,-0.28735370,-0.17588740
walking,3362,17,47,0.08430348,-0.28634060,-0.11624980
walking,3362,17,48,-0.01135412,-0.26435850,-0.01690877
walking,3362,17,49,-0.12040850,-0.19466140,0.04475101
walking,3362,17,50,-0.26003980,-0.04416073,0.01700251
walking,3362,17,51,-0.32017130,0.09540779,0.01981476
walking,3362,17,52,-0.30310230,0.09484497,0.00877158
walking,3362,17,53,-0.23317930,0.03939574,-0.03101593
walking,3362,17,54,-0.15150550,0.08826785,-0.03142202
walking,3362,17,55,-0.12856110,0.08609526,-0.03304887
walking,3362,17,56,-0.11190780,0.09293800,-0.02955484
walking,3362,17,57,-0.12100310,0.18547050,-0.01361297
walking,3362,17,58,-0.15018090,0.19031760,0.01314833
walking,3362,17,59,-0.11831690,0.18810120,0.04479131
walking,3362,17,60,-0.07886667,0.18033420,0.03786489
walking,3362,17,61,-0.02170271,0.14482210,0.00420132
walking,3362,17,62,0.06313913,0.15470770,-0.03236543
walking,3362,17,63,0.12081030,0.15014450,-0.04035204
walking,3362,17,64,0.16272630,0.18113050,-0.01535021
walking,3362,17,65,0.17087640,0.22828120,0.01275837
walking,3362,17,66,0.16573740,0.21437370,0.07454926
walking,3362,17,67,0.17479280,0.15171360,0.17532210
walking,3362,17,68,0.17060660,0.08024289,0.26162990
walking,3362,17,69,0.17160650,0.10193380,0.22412800
walking,3362,17,70,0.17137690,0.12414890,0.00828138
walking,3362,17,71,0.14825850,0.08044644,-0.24148140
walking,3362,17,72,0.11974800,0.04120875,-0.35432620
walking,3362,17,73,0.07287673,-0.14264070,-0.27008580
walking,3362,17,74,0.01054847,-0.43642800,-0.13544000
walking,3362,17,75,-0.00011179,-0.49891150,-0.07625548
walking,3362,17,76,0.04399102,-0.33787760,-0.00815490
walking,3362,17,77,0.08644074,-0.18182540,0.01624212
walking,3362,17,78,0.14238380,0.01933139,-0.03641344
walking,3362,17,79,0.17943640,0.20267140,-0.11766710
walking,3362,17,80,0.13681680,0.18210270,-0.18822540
walking,3362,17,81,0.06929799,0.08178549,-0.13385530
walking,3362,17,82,-0.02918387,-0.03557797,-0.04880068
walking,3362,17,83,-0.15381750,-0.13908810,0.05531763
walking,3362,17,84,-0.21523030,-0.12381050,0.17531910
walking,3362,17,85,-0.25123360,-0.09186801,0.17036970
walking,3362,17,86,-0.27805990,-0.03936939,0.18001910
walking,3362,17,87,-0.28058010,0.03822714,0.18439500
walking,3362,17,88,-0.29866750,0.04410728,0.15698860
walking,3362,17,89,-0.28872250,0.04491081,0.20807450
walking,3362,17,90,-0.24827550,0.04753459,0.22225740
walking,3362,17,91,-0.19129880,0.04741152,0.22779270
walking,3362,17,92,-0.09783106,0.05274432,0.22573480
walking,3362,17,93,-0.00368603,0.00903474,0.18410350
walking,3362,17,94,0.12748710,-0.07189902,0.15946200
walking,3362,17,95,0.29866470,-0.17550060,0.12089400
walking,3362,17,96,0.40189780,-0.19347070,0.17730140
walking,3362,17,97,0.39241910,-0.02029974,0.27942680
walking,3362,17,98,0.31351630,0.23049670,0.27449630
walking,3362,17,99,0.27475510,0.32275750,0.20120090
walking,3362,17,100,0.32680750,0.13639710,0.04427867
walking,3362,17,101,0.36627170,-0.16206870,-0.12547760
walking,3362,17,102,0.27292310,-0.36661880,-0.19780380
walking,3362,17,103,0.03442236,-0.34187740,-0.19770280
walking,3362,17,104,-0.22294410,-0.11520620,-0.20011030
walking,3362,17,105,-0.28298880,0.04863374,-0.23146720
walking,3362,17,106,-0.12596240,0.06942936,-0.21993790
walking,3362,17,107,0.00752417,-0.00786023,-0.20234670
walking,3362,17,108,0.09615515,-0.16592190,-0.18921940
walking,3362,17,109,0.18053470,-0.31794600,-0.09470651
walking,3362,17,110,0.08928675,-0.36930010,-0.00551072
walking,3362,17,111,-0.07144705,-0.22900070,0.02194701
walking,3362,17,112,-0.16785500,-0.05199143,0.03287823
walking,3362,17,113,-0.26216000,0.04819264,0.01798410
walking,3362,17,114,-0.28222400,0.13435240,-0.00961789
walking,3362,17,115,-0.26553650,0.10532250,-0.01242769
walking,3362,17,116,-0.24787230,0.05995471,0.00521830
walking,3362,17,117,-0.17753950,0.06788698,0.00842247
walking,3362,17,118,-0.14388700,0.06068521,0.00842117
walking,3362,17,119,-0.14813690,0.13384750,0.01628407
walking,3362,17,120,-0.15605760,0.19922780,0.01875151
walking,3362,17,121,-0.16445470,0.21744690,0.02798483
walking,3362,17,122,-0.11771810,0.22183860,0.02254334
walking,3362,17,123,-0.03925076,0.19505560,0.00374595
walking,3362,17,124,0.02074511,0.21441820,-0.00792758
walking,3362,17,125,0.07517503,0.19976650,-0.02320291
walking,3362,17,126,0.16468180,0.17984380,-0.03661950
walking,3362,17,127,0.20952760,0.22236420,-0.04048533
sitting,394,3,0,0.00263355,0.01085575,-0.00688815
sitting,394,3,1,-0.00113606,0.00708096,-0.00588543
sitting,394,3,2,-0.00433262,-0.00076196,-0.00263312
sitting,394,3,3,-0.00090059,-0.00617979,-0.00136059
sitting,394,3,4,0.00297309,-0.01004092,-0.00442244
sitting,394,3,5,0.00444498,-0.01005490,-0.00381079
sitting,394,3,6,0.00476585,-0.00286519,-0.00451104
sitting,394,3,7,0.00072742,0.00467539,-0.00659838
sitting,394,3,8,-0.00442730,0.00385866,-0.00557306
sitting,394,3,9,-0.00358047,-0.00090035,-0.00622589
sitting,394,3,10,-0.00112570,-0.00237773,-0.00833405
sitting,394,3,11,-0.00044798,-0.00354616,-0.00879046
sitting,394,3,12,0.00342987,-0.00490318,-0.00738868
sitting,394,3,13,0.00619617,-0.00487753,-0.00367968
sitting,394,3,14,0.00319692,-0.00721440,-0.00375325
sitting,394,3,15,0.00129258,-0.01069312,-0.00932867
sitting,394,3,16,0.00249495,-0.01247339,-0.01063523
sitting,394,3,17,0.00260922,-0.01397186,-0.00875530
sitting,394,3,18,0.00195456,-0.01619426,-0.00849609
sitting,394,3,19,0.00252258,-0.01922216,-0.00873874
sitting,394,3,20,0.00329980,-0.02035292,-0.01107330
sitting,394,3,21,0.00277458,-0.01508671,-0.01024019
sitting,394,3,22,-0.00059382,-0.00607170,-0.00444968
sitting,394,3,23,-0.00421127,-0.00320464,-0.00071655
sitting,394,3,24,-0.00035348,-0.00579487,-0.00126780
sitting,394,3,25,0.00452546,-0.00582228,-0.00395955
sitting,394,3,26,0.00181256,-0.00479086,-0.00482799
sitting,394,3,27,0.00124583,-0.00474394,-0.00546842
sitting,394,3,28,0.00313468,-0.00461908,-0.00590315
sitting,394,3,29,0.00123904,-0.00357206,-0.00343340
sitting,394,3,30,-0.00015065,-0.00264003,-0.00109946
sitting,394,3,31,-0.00260886,-0.00381163,0.00041632
sitting,394,3,32,-0.00456045,-0.00290514,-0.00181623
sitting,394,3,33,-0.00198802,-0.00038654,-0.00521304
sitting,394,3,34,-0.00079023,-0.00011451,-0.00138598
sitting,394,3,35,-0.00053936,-0.00011590,0.00503475
sitting,394,3,36,0.00128819,0.00006774,0.00886224
sitting,394,3,37,0.00185108,0.00015508,0.00838588
sitting,394,3,38,0.00044400,-0.00073906,0.00486075
sitting,394,3,39,-0.00134891,-0.00186370,0.00304243
sitting,394,3,40,0.00066326,-0.00187928,-0.00064153
sitting,394,3,41,0.00277861,-0.00146773,-0.00454221
sitting,394,3,42,-0.00025652,0.00026780,-0.00489284
sitting,394,3,43,-0.00179692,0.00060451,-0.00190012
sitting,394,3,44,-0.00067612,0.00123067,0.00594923
sitting,394,3,45,-0.00089130,0.00431522,0.00709845
